BNUM 	NAME		LAT	 LONG	    ELEV(m)    INSTALL_DATE    CH0(EofN)	BSM_Depth(m) SEISMOMETER_Depth(m) PORE_DEPTH(m) DATA_START DATA_END	GAP(m)	L_DATE		L0(cnts)	 L1(cnts)	 L2(cnts)	 L3(cnts)	REGION
B054 sibley054bcn2008 37.86020	-122.19950 405.6	2008-08-21	325.0		126.7		118.9		   NA		2008:234 -> Present	0.0001	2008:247	54931797	55357406	54217458	54263937	SanFrancisco_California
B057 lucasv057bcn2008 38.02730	-122.56550 14.4		2008-06-10	206.9		219.5		212.6		   NA		2008:162 -> Present	0.0001	2008:199	51681557	50980535	51465849	50369100	SanFrancisco_California
B058 sjgrad058bcn2007 36.79950	-121.58080 114.2	2007-05-17	349.9		166.7		159.4	   	   15.24	2007:137 -> Present	0.0001	2007:158	49352390	51324341	42485439	49456057	SanJuanBautista_California
B065 gabiln065bcn2007 36.74367	-121.47417 643.0	2007-06-22	231.3		191.5		185.6		   NA		2007:172 -> Present	0.0001	2007:189	50853765	47246346	45525122	54311220	SanJuanBautista_California
B066 rockrd066bcn2007 36.85753	-121.59217 67.0		2007-06-07	331.5		236.2		223.9	   	   1.5		2007:158 -> Present	0.0001	2007:183	47017524	51842227	49042237	41297113	SanJuanBautista_California
B067 stoney067bcn2007 36.76500	-121.56550 126.2	2007-06-12	311.6		159.1		150.6	   	   14.0		2007:163 -> Present	0.0001	2007:179	59665521	49943987	50538358	52413095	SanJuanBautista_California
B072 goldhl072bcn2007 35.83100	-120.34500 397.7	2007-08-27	219.7		159.7		154.5		   NA		2007:239 -> Present	0.0001	2007:253	47592395	52739856	51898099	51846814	Parkfield_California
B073 varian073bcs2006 35.94670	-120.47170 535.3	2006-10-18	270.1		241.4		236.1	   	   12.8		2006:291 -> Present	0.0001	2006:305	48574128	53068331	47998858	48278313	Parkfield_California
B075 flengt075bcs2006 35.92920	-120.51530 583.0	2006-10-13	321.9		170.5		165.8		   NA		2006:297 -> Present	0.0001	2006:318	49464313	51110883	49867996	49335732	Parkfield_California
B076 donnal076bcs2006 35.93980	-120.42480 445.0	2006-10-13	278.5		197.6		193.2	   	   3.0		2006:286 -> Present	0.0001	2006:318	50948542	53241885	49859757	47528615	Parkfield_California
B078 goldhl078bcs2006 35.83770	-120.34520 386.8	2006-10-12	279.7		181.5		175.1	   	   19.5		2006:285 -> Present	0.0001	2006:335	50057051	52037304	50448642	50813775	Parkfield_California
B079 jackcn079bcs2006 35.71570	-120.20570 436.6	2006-10-13	353.7		181.5		175.1	   	   45.0		2006:286 -> Present	0.0001	2006:318	48042444	48981765	47787315	49995315	Parkfield_California
B081 keenwi081bcs2006 33.71117	-116.71417 1467.0	2006-06-16	3.2		242.9		229.8	   	   37.5		2006:211 -> Present	0.0002	2007:032	49896972	49667866	49378646	49368115	Anza_California
B082 pathfi082bcs2006 33.59818	-116.59600 1374.8	2006-06-10	324.8		242.6		220.7	   	   22.6		2006:162 -> Present	0.0002	2006:335	49597819	53081549	47839224	49741765	Anza_California
B084 pinyon084bcs2006 33.61157	-116.45637 1271.0	2006-09-15	197.0		158.6		147.6	   	   36.9		2006:287 -> Present	0.0001	2007:032	48675577	48884694	49266589	50880568	Anza_California
B086 santar086bcs2006 33.55743	-116.53104 1392.0	2006-06-17	316.5		239.9		226.8	   	   39.52	2006:168 -> Present	0.0002	2006:335	49879596	49983376	49582304	48850770	Anza_California
B087 fordra087bcs2006 33.49550	-116.60267 1139.0	2006-06-17	340.7		160.9		147.5	   	   24.38	2006:194 -> Present	0.0002	2006:335	49940592	51287823	50044783	49977525	Anza_California
B088 skyoks088bcs2007 33.37495	-116.62052 1403.9	2007-01-28	216.2		159.4		147.8	   	   15.24	2007:027 -> Present	0.0001	2007:060	51844182	48112350	51556148	44977647	Anza_California
B089 pathfi089bcs2006 33.59989	-116.59612 1362.0	2006-08-28	291.0		132.8		NA		   NA		2006:291 -> Present	0.0001	2007:032	50222879	45702345	45989341	48957339	Anza_California
B093 trippf093bcs2007 33.59370	-116.76380 1244.0	2007-09-20	339.0		144.8		125.0		   NA		2007:302 -> Present	0.0001	2007:336	48558185	47547326	54458824	56151843	Anza_California
B201 coldwt201bwa2007 46.30330	-122.26480 990.0	2007-09-12	18.0		242.9		237.3		   NA		2007:255 -> Present	0.0001	2007:274	47817412	53030965	51979105	49466310	Mt.St.Helens
B202 windyr202bwa2007 46.24470	-122.13670 1218.6	2007-07-25	207.7		242.8		236.8		   NA		2007:206 -> Present	0.0001	2007:223	52984785	53387144	52443761	54413512	Mt.St.Helens
B203 quarry203bwa2007 46.16900	-122.33370 814.4	2007-07-18	290.7		226.3		218.8		   NA		2007:199 -> Present	0.0001	2007:223	46273310	45826141	48991082	54688037	Mt.St.Helens
B204 marble204bwa2007 46.13600	-122.16900 784.2	2007-08-01	235.9		241.4		223.0		   NA		2007:213 -> Present	0.0001	2007:223	50719595	49621130	50298029	51198349	Mt.St.Helens
B205 norris205bwy2008 44.71350	-110.67820 2295.9	2008-07-16	200.9		146.9		142.2		   NA		2008:198 -> Present	0.0001	2008:230	42652717	45161579	38020303	38723280	Yellowstone
B206 canyon206bwy2008 44.71770	-110.51170 2399.5	2008-06-27	181.0		78.9		73.2		   NA		2008:179 -> Present	0.0001	2008:199	52715804	52087637	50038643	50112611	Yellowstone
B207 madisn207bwy2007 44.61900	-110.84850 2182.0	2007-10-17	Unknown		209.4		202.1		   NA		2007:290 -> Present	0.0001	2007:311	44283855	50633168	47117143	48576023	Yellowstone
B208 lakejn208bwy2007 44.56020	-110.40150 2405.8	2007-10-31	292.4		163.1		163.1		   NA		2007:304 -> Present	0.0001	2007:311	46898736	53517015	46438624	55850753	Yellowstone
B900 blacka900bcn2007 35.68600	-120.00300 219.5	2007-08-22	221.3		186.2		181.0		   NA		2007:234 -> Present	0.0001	2007:253	50417461	51157173	52835570	51426616	Parkfield_California
B901 indspr901bcn2007 35.68970	-120.14200 275.3	2007-09-26	215.5		181.8		173.1		   NA		2007:269 -> Present	0.0001	2007:277	49498404	50800561	52921722	51092607	Parkfield_California
B916 marips916bcs2008 36.19250	-117.66850 1859.9	2008-03-13	303.6		176.5		166.9		   NA		2008:073 -> Present	0.0001	2008:090	55948375	53191200	55522127	49391430	Mojave_California
B917 tonyso917bcs2008 35.38920	-117.25870 1125.9	2008-07-14	306.1		162.5		Unknown		   NA		2008:196 -> Present	0.0001	2008:219	51200216	53318503	50164819	49964400	Mojave_California
B918 mtsprn918bcs2008 35.93570	-117.60170 1042.6	2008-06-21	288.9		196.7		189.9		   NA		2008:173 -> Present	0.0001	2008:245	56324863	55262353	53608304	55388642	Mojave_California
B921 randsb921bcs2008 35.58650	-117.46220 694.5	2008-06-03	340.5		147.4		139.9		   NA		2008:157 -> Present	0.0001	2008:178	53324139	53302937	55141972	53475662	Mojave_California
B926 cowich926bbc2007 48.82020	-124.13120 191.6	2007-11-12	236.4		244.1		233.5		   NA		2007:316 -> Present	0.0001	2008:042	42593415	52064485	41588690	41977889	Vancouver
B927 albern927bbc2007 49.21880	-124.81440 98.7		2007-12-06	331.1		232.6		221.7		   NA		2007:340 -> Present	0.0001	2008:042	52092220	49427740	51492232	53489343	Vancouver
B928 bamfld928bbc2007 48.83370	-125.13450 9.5		2007-11-28	284.1		243.4		236.5		   NA		2008:030 -> Present	0.0001	2008:042	49498361	51435532	47339400	50629584	Vancouver
B933 mckeem933bcn2008 40.06000	-123.96900 268.1	2008-09-12	271.0		149.0		139.0		   NA		2008:256 -> Present	0.0001	2008:300	51386619	53867168	49065356	57283153	Mendocino_California
B934 legget934bcn2008 39.84450	-123.69140 331.0	2008-09-26	319.0		152.4		Unknown		   NA		2009:151 -> Present	0.0001	2009:172	52363336	52964782	52867568	57699435	Mendocino_California
B935 dinsmr935bcn2008 40.47870	-123.57320 696.7	2008-10-28	263.1		158.2		152.4		   NA		2008:302 -> Present	0.0001	2009:002	48727213	51315980	54000206	52473746	Mendocino_California
B941 kapows941bwa2008 46.98680	-122.21900 151.0	2008-03-18	281.3		153.0		147.2		   NA		2008:078 -> Present	0.0001	2008:090	48998564	51057413	47025091	51956642	PacificNorthWest
B943 pnycrk943bwa2008 47.81320	-122.91130 84.2		2008-02-26	329.5		225.9		215.6		   NA		2008:057 -> Present	0.0001	2008:064	49539891	50601930	47147687	46815731	PacificNorthWest
B944 grantt944bwy2008 44.38970	-110.54380 2364.6	2008-08-06	325.1		120.1		114.3		   NA		2008:219 -> Present	0.0001	2008:247	51734236	50597267	51539621	53830721	Yellowstone
